STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSFORMATION,Transformation,SEX,Sex,AGE,Age,WORKER_STATUS,Worker status,ACTIVITY,Economic activity,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_ALFS@DF_SUMTAB(1.0),"Annual labour force survey, summary tables",I,DNK,Denmark,UNE_LF,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,G1,"Growth rate, period on period",_T,Total,Y_GE15,15 years or over,_Z,Not applicable,_Z,Not applicable,A,Annual,2014,,6.927884,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_ALFS@DF_SUMTAB(1.0),"Annual labour force survey, summary tables",I,DNK,Denmark,UNE_LF,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,G1,"Growth rate, period on period",_T,Total,Y_GE15,15 years or over,_Z,Not applicable,_Z,Not applicable,A,Annual,2013,,7.382339,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_ALFS@DF_SUMTAB(1.0),"Annual labour force survey, summary tables",I,DNK,Denmark,UNE_LF,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,G1,"Growth rate, period on period",_T,Total,Y_GE15,15 years or over,_Z,Not applicable,_Z,Not applicable,A,Annual,2012,,7.797653,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_ALFS@DF_SUMTAB(1.0),"Annual labour force survey, summary tables",I,DNK,Denmark,UNE_LF,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,G1,"Growth rate, period on period",_T,Total,Y_GE15,15 years or over,_Z,Not applicable,_Z,Not applicable,A,Annual,2011,,7.769598,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_ALFS@DF_SUMTAB(1.0),"Annual labour force survey, summary tables",I,DNK,Denmark,UNE_LF,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,G1,"Growth rate, period on period",_T,Total,Y_GE15,15 years or over,_Z,Not applicable,_Z,Not applicable,A,Annual,2010,,7.747934,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_ALFS@DF_SUMTAB(1.0),"Annual labour force survey, summary tables",I,DNK,Denmark,UNE_LF,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,G1,"Growth rate, period on period",_T,Total,Y_GE15,15 years or over,_Z,Not applicable,_Z,Not applicable,A,Annual,2009,,6.411551,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_ALFS@DF_SUMTAB(1.0),"Annual labour force survey, summary tables",I,DNK,Denmark,UNE_LF,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,G1,"Growth rate, period on period",_T,Total,Y_GE15,15 years or over,_Z,Not applicable,_Z,Not applicable,A,Annual,2008,,3.683691,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_ALFS@DF_SUMTAB(1.0),"Annual labour force survey, summary tables",I,DNK,Denmark,UNE_LF,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,G1,"Growth rate, period on period",_T,Total,Y_GE15,15 years or over,_Z,Not applicable,_Z,Not applicable,A,Annual,2006,,3.898582,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_ALFS@DF_SUMTAB(1.0),"Annual labour force survey, summary tables",I,DNK,Denmark,UNE_LF,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,G1,"Growth rate, period on period",_T,Total,Y_GE15,15 years or over,_Z,Not applicable,_Z,Not applicable,A,Annual,2005,,4.830782,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_ALFS@DF_SUMTAB(1.0),"Annual labour force survey, summary tables",I,DNK,Denmark,UNE_LF,Unemployment rate,PT_LF_SUB,Percentage of labour force in the same subgroup,G1,"Growth rate, period on period",_T,Total,Y_GE15,15 years or over,_Z,Not applicable,_Z,Not applicable,A,Annual,2003,,5.406289,,,,A,Normal value,0,Units,1,One
